Layer,Parameter,Weight
Layer 0,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 0,Parameter 1,[0.4031271]
Layer 0,Parameter 2,[[-0.68602014]]
Layer 0,Parameter 3,[-0.6740458]
Layer 1,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1,Parameter 1,[0.4031271]
Layer 1,Parameter 2,[[-0.68602014]]
Layer 1,Parameter 3,[-0.6740458]
Layer 2,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2,Parameter 1,[0.4031271]
Layer 2,Parameter 2,[[-0.68602014]]
Layer 2,Parameter 3,[-0.6740458]
Layer 3,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 3,Parameter 1,[0.4031271]
Layer 3,Parameter 2,[[-0.68602014]]
Layer 3,Parameter 3,[-0.6740458]
Layer 4,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4,Parameter 1,[0.4031271]
Layer 4,Parameter 2,[[-0.68602014]]
Layer 4,Parameter 3,[-0.6740458]
Layer 5,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 5,Parameter 1,[0.4031271]
Layer 5,Parameter 2,[[-0.68602014]]
Layer 5,Parameter 3,[-0.6740458]
Layer 6,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 6,Parameter 1,[0.4031271]
Layer 6,Parameter 2,[[-0.68602014]]
Layer 6,Parameter 3,[-0.6740458]
Layer 7,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 7,Parameter 1,[0.4031271]
Layer 7,Parameter 2,[[-0.68602014]]
Layer 7,Parameter 3,[-0.6740458]
Layer 8,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 8,Parameter 1,[0.4031271]
Layer 8,Parameter 2,[[-0.68602014]]
Layer 8,Parameter 3,[-0.6740458]
Layer 9,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 9,Parameter 1,[0.4031271]
Layer 9,Parameter 2,[[-0.68602014]]
Layer 9,Parameter 3,[-0.6740458]
Layer 10,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 10,Parameter 1,[0.4031271]
Layer 10,Parameter 2,[[-0.68602014]]
Layer 10,Parameter 3,[-0.6740458]
Layer 11,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 11,Parameter 1,[0.4031271]
Layer 11,Parameter 2,[[-0.68602014]]
Layer 11,Parameter 3,[-0.6740458]
Layer 12,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 12,Parameter 1,[0.4031271]
Layer 12,Parameter 2,[[-0.68602014]]
Layer 12,Parameter 3,[-0.6740458]
Layer 13,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 13,Parameter 1,[0.4031271]
Layer 13,Parameter 2,[[-0.68602014]]
Layer 13,Parameter 3,[-0.6740458]
Layer 14,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 14,Parameter 1,[0.4031271]
Layer 14,Parameter 2,[[-0.68602014]]
Layer 14,Parameter 3,[-0.6740458]
Layer 15,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 15,Parameter 1,[0.4031271]
Layer 15,Parameter 2,[[-0.68602014]]
Layer 15,Parameter 3,[-0.6740458]
Layer 16,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 16,Parameter 1,[0.4031271]
Layer 16,Parameter 2,[[-0.68602014]]
Layer 16,Parameter 3,[-0.6740458]
Layer 17,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 17,Parameter 1,[0.4031271]
Layer 17,Parameter 2,[[-0.68602014]]
Layer 17,Parameter 3,[-0.6740458]
Layer 18,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 18,Parameter 1,[0.4031271]
Layer 18,Parameter 2,[[-0.68602014]]
Layer 18,Parameter 3,[-0.6740458]
Layer 19,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 19,Parameter 1,[0.4031271]
Layer 19,Parameter 2,[[-0.68602014]]
Layer 19,Parameter 3,[-0.6740458]
Layer 20,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 20,Parameter 1,[0.4031271]
Layer 20,Parameter 2,[[-0.68602014]]
Layer 20,Parameter 3,[-0.6740458]
Layer 21,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 21,Parameter 1,[0.4031271]
Layer 21,Parameter 2,[[-0.68602014]]
Layer 21,Parameter 3,[-0.6740458]
Layer 22,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 22,Parameter 1,[0.4031271]
Layer 22,Parameter 2,[[-0.68602014]]
Layer 22,Parameter 3,[-0.6740458]
Layer 23,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 23,Parameter 1,[0.4031271]
Layer 23,Parameter 2,[[-0.68602014]]
Layer 23,Parameter 3,[-0.6740458]
Layer 24,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 24,Parameter 1,[0.4031271]
Layer 24,Parameter 2,[[-0.68602014]]
Layer 24,Parameter 3,[-0.6740458]
Layer 25,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 25,Parameter 1,[0.4031271]
Layer 25,Parameter 2,[[-0.68602014]]
Layer 25,Parameter 3,[-0.6740458]
Layer 26,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 26,Parameter 1,[0.4031271]
Layer 26,Parameter 2,[[-0.68602014]]
Layer 26,Parameter 3,[-0.6740458]
Layer 27,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 27,Parameter 1,[0.4031271]
Layer 27,Parameter 2,[[-0.68602014]]
Layer 27,Parameter 3,[-0.6740458]
Layer 28,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 28,Parameter 1,[0.4031271]
Layer 28,Parameter 2,[[-0.68602014]]
Layer 28,Parameter 3,[-0.6740458]
Layer 29,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 29,Parameter 1,[0.4031271]
Layer 29,Parameter 2,[[-0.68602014]]
Layer 29,Parameter 3,[-0.6740458]
Layer 30,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 30,Parameter 1,[0.4031271]
Layer 30,Parameter 2,[[-0.68602014]]
Layer 30,Parameter 3,[-0.6740458]
Layer 31,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 31,Parameter 1,[0.4031271]
Layer 31,Parameter 2,[[-0.68602014]]
Layer 31,Parameter 3,[-0.6740458]
Layer 32,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 32,Parameter 1,[0.4031271]
Layer 32,Parameter 2,[[-0.68602014]]
Layer 32,Parameter 3,[-0.6740458]
Layer 33,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 33,Parameter 1,[0.4031271]
Layer 33,Parameter 2,[[-0.68602014]]
Layer 33,Parameter 3,[-0.6740458]
Layer 34,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 34,Parameter 1,[0.4031271]
Layer 34,Parameter 2,[[-0.68602014]]
Layer 34,Parameter 3,[-0.6740458]
Layer 35,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 35,Parameter 1,[0.4031271]
Layer 35,Parameter 2,[[-0.68602014]]
Layer 35,Parameter 3,[-0.6740458]
Layer 36,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 36,Parameter 1,[0.4031271]
Layer 36,Parameter 2,[[-0.68602014]]
Layer 36,Parameter 3,[-0.6740458]
Layer 37,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 37,Parameter 1,[0.4031271]
Layer 37,Parameter 2,[[-0.68602014]]
Layer 37,Parameter 3,[-0.6740458]
Layer 38,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 38,Parameter 1,[0.4031271]
Layer 38,Parameter 2,[[-0.68602014]]
Layer 38,Parameter 3,[-0.6740458]
Layer 39,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 39,Parameter 1,[0.4031271]
Layer 39,Parameter 2,[[-0.68602014]]
Layer 39,Parameter 3,[-0.6740458]
Layer 40,Parameter 0,[[-0.01247968  0.0126685 ]]
